name	color
Willpower orange	#FD5800
Windsor tan	#A75502
Wine	#722F37
Wine dregs	#673147
Wisteria	#C9A0DC
Wood brown	#C19A6B
Xanadu	#738678
Yale Blue	#0F4D92
Yankees blue	#1C2841
Yellow	#FFFF00
Yellow (Crayola)	#FCE883
Yellow (Munsell)	#EFCC00
Yellow (NCS)	#FFD300
Yellow (Pantone)	#FEDF00
Yellow (process)	#FFEF00
Yellow (RYB)	#FEFE33
Yellow-green	#9ACD32
Yellow Orange	#FFAE42
Yellow rose	#FFF000
Zaffre	#0014A8
Zinnwaldite brown	#2C1608
Zomp	#39A78E
